episode,reward,steps
1,-69,32
2,-87,14
3,-89,12
4,-86,15
5,-87,14
6,-89,12
7,-89,12
8,-81,20
9,-82,19
10,-85,16
11,-82,19
12,-73,28
13,-87,14
14,-76,25
15,-87,14
16,-81,20
17,-38,63
18,-72,29
19,-77,24
20,-74,27
21,-81,20
22,-90,11
23,-84,17
24,-85,16
25,-68,33
26,-83,18
27,-90,11
28,-84,17
29,-83,18
30,-82,19
31,-64,37
32,-90,11
33,-86,15
34,-83,18
35,-85,16
36,-66,35
37,-59,42
38,-86,15
39,-89,12
40,-82,19
41,-85,16
42,-90,11
43,-87,14
44,-88,13
45,-87,14
46,-74,27
47,-87,14
48,-91,10
49,-84,17
50,-81,20
51,-87,14
52,-86,15
53,-75,26
54,-87,14
55,-86,15
56,-83,18
57,-74,27
58,-86,15
59,-84,17
60,-67,34
61,-83,18
62,-91,10
63,-91,10
64,-84,17
65,-91,10
66,-90,11
67,-89,12
68,-86,15
69,-87,14
70,-31,70
71,-83,18
72,-87,14
73,-86,15
74,-83,18
75,-86,15
76,-81,20
77,-84,17
78,-82,19
79,-88,13
80,-63,38
81,-89,12
82,-82,19
83,-89,12
84,-86,15
85,-85,16
86,-91,10
87,-46,55
88,-85,16
89,-84,17
90,-87,14
91,-83,18
92,-72,29
93,-84,17
94,-89,12
95,-82,19
96,-91,10
97,-89,12
98,-88,13
99,-85,16
100,-91,10
101,-89,12
102,-85,16
103,-86,15
104,-89,12
105,-63,38
106,-87,14
107,-91,10
108,-86,15
109,-91,10
110,-90,11
111,-82,19
112,-89,12
113,-81,20
114,-83,18
115,-89,12
116,-75,26
117,-90,11
118,-88,13
119,-89,12
120,-91,10
121,-86,15
122,-85,16
123,-89,12
124,-18,83
125,-86,15
126,-67,34
127,-70,31
128,-84,17
129,-86,15
130,-84,17
131,-86,15
132,100,100
133,-91,10
134,-83,18
135,-90,11
136,-85,16
137,-90,11
138,-60,41
139,-82,19
140,-86,15
141,-88,13
142,-66,35
143,-81,20
144,-90,11
145,-80,21
146,-91,10
147,-84,17
148,-72,29
149,-87,14
150,-84,17
151,-85,16
152,-40,61
153,-64,37
154,-85,16
155,-86,15
156,-82,19
157,-72,29
158,-15,86
159,-83,18
160,-81,20
161,-84,17
162,-83,18
163,-78,23
164,-81,20
165,-88,13
166,-85,16
167,-81,20
168,-84,17
169,-79,22
170,-86,15
171,-85,16
172,-55,46
173,-89,12
174,-81,20
175,-84,17
176,-91,10
177,-81,20
178,-86,15
179,-73,28
180,-81,20
181,-91,10
182,-88,13
183,-89,12
184,-84,17
185,-91,10
186,-89,12
187,-85,16
188,-90,11
189,-91,10
190,-82,19
191,-83,18
192,-91,10
193,-90,11
194,-85,16
195,-87,14
196,-88,13
197,-85,16
198,-81,20
199,-87,14
200,-83,18
